Purchase Budget Sep–Dec 2026 (from Sep–Dec 2025 sales),,,,,,,
Purchase budget = 60% of C-store Net Sales. Vendor split by 2026 whole-year avg/month share (vendor name only).,,,,,,,
Client,Plan month,2025 sales month,Net sales 2025,Purchase budget (60%),Vendors,Sum vendor avgs/mo,Notes
Arco Brookhurst 75,Sep 2026,Sep 2025,199109.26,119465.56,4,36378.28,Dept Sales
Arco Brookhurst 75,Oct 2026,Oct 2025,195677.94,117406.76,4,36378.28,Dept Sales
Arco Brookhurst 75,Nov 2026,Nov 2025,168738.09,101242.85,4,36378.28,Dept Sales
Arco Brookhurst 75,Dec 2026,Dec 2025,186333.27,111799.96,4,36378.28,Dept Sales
Arco Charleston,Sep 2026,Sep 2025,70480.2,42288.12,4,35291.26,Dept Sales
Arco Charleston,Oct 2026,Oct 2025,71004.36,42602.62,4,35291.26,Dept Sales
Arco Charleston,Nov 2026,Nov 2025,62971.02,37782.61,4,35291.26,Dept Sales
Arco Charleston,Dec 2026,Dec 2025,61044.29,36626.57,4,35291.26,Dept Sales
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,11,73128.85,Dept Sales
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,11,73128.85,Dept Sales
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,11,73128.85,Dept Sales
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,11,73128.85,Dept Sales
Arco Flamingo (Koval),Sep 2026,Sep 2025,122744.24,73646.54,4,43603.71,Dept Sales
Arco Flamingo (Koval),Oct 2026,Oct 2025,101329.36,60797.62,4,43603.71,Dept Sales
Arco Flamingo (Koval),Nov 2026,Nov 2025,108186.37,64911.82,4,43603.71,Dept Sales
Arco Flamingo (Koval),Dec 2026,Dec 2025,95090.41,57054.25,4,43603.71,Dept Sales
Arco Garden Grove,Sep 2026,Sep 2025,149380.78,89628.47,4,40978.09,Dept Sales
Arco Garden Grove,Oct 2026,Oct 2025,153698.45,92219.07,4,40978.09,Dept Sales
Arco Garden Grove,Nov 2026,Nov 2025,128223.2,76933.92,4,40978.09,Dept Sales
Arco Garden Grove,Dec 2026,Dec 2025,136904.48,82142.69,4,40978.09,Dept Sales
Arco HB,Sep 2026,Sep 2025,132379.94,79427.96,10,68424.86,Dept Sales
Arco HB,Oct 2026,Oct 2025,136503.88,81902.33,10,68424.86,Dept Sales
Arco HB,Nov 2026,Nov 2025,109138.12,65482.87,10,68424.86,Dept Sales
Arco HB,Dec 2026,Dec 2025,112874.21,67724.53,10,68424.86,Dept Sales
Arco La Mesa,Sep 2026,Sep 2025,103568.35,62141.01,0,,Dept Sales; No vendor avgs (pending)
Arco La Mesa,Oct 2026,Oct 2025,87723.8,52634.28,0,,Dept Sales; No vendor avgs (pending)
Arco La Mesa,Nov 2026,Nov 2025,99212.66,59527.6,0,,Dept Sales; No vendor avgs (pending)
Arco La Mesa,Dec 2026,Dec 2025,103665.11,62199.07,0,,Dept Sales; No vendor avgs (pending)
Arco Lamb,Sep 2026,Sep 2025,85480.5,51288.3,4,37843.03,Dept Sales
Arco Lamb,Oct 2026,Oct 2025,84852.33,50911.4,4,37843.03,Dept Sales
Arco Lamb,Nov 2026,Nov 2025,77949.48,46769.69,4,37843.03,Dept Sales
Arco Lamb,Dec 2026,Dec 2025,85341.02,51204.61,4,37843.03,Dept Sales
Arco Oakey,Sep 2026,Sep 2025,35826.29,21495.77,4,23598.03,Dept Sales
Arco Oakey,Oct 2026,Oct 2025,41527.81,24916.69,4,23598.03,Dept Sales
