Vendor purchase budget by client and month (vendor name only),,,,,,,,,
budget = purchase_budget × (vendor_avg_per_month / sum of client vendor avgs),,,,,,,,,
Client,Plan month,Sales month,Net sales 2025,Purchase budget 60%,Vendor,Delivery day(s),Vendor avg/mo,Share,Budget for vendor
Arco Brookhurst 75,Dec 2026,Dec 2025,186333.27,111799.96,Core-Mark,Monday,29626.19,0.8143922692331798,91049.02
Arco Brookhurst 75,Dec 2026,Dec 2025,186333.27,111799.96,Red Bull,Wednesday,2766.26,0.07604152807664355,8501.44
Arco Brookhurst 75,Dec 2026,Dec 2025,186333.27,111799.96,Frito Lay,Thursday,2683.98,0.07377973889914531,8248.57
Arco Brookhurst 75,Dec 2026,Dec 2025,186333.27,111799.96,7UP,Friday,1301.85,0.03578646379103135,4000.93
Arco Brookhurst 75,Nov 2026,Nov 2025,168738.09,101242.85,Core-Mark,Monday,29626.19,0.8143922692331798,82451.39
Arco Brookhurst 75,Nov 2026,Nov 2025,168738.09,101242.85,Red Bull,Wednesday,2766.26,0.07604152807664355,7698.66
Arco Brookhurst 75,Nov 2026,Nov 2025,168738.09,101242.85,Frito Lay,Thursday,2683.98,0.07377973889914531,7469.67
Arco Brookhurst 75,Nov 2026,Nov 2025,168738.09,101242.85,7UP,Friday,1301.85,0.03578646379103135,3623.12
Arco Brookhurst 75,Oct 2026,Oct 2025,195677.94,117406.76,Core-Mark,Monday,29626.19,0.8143922692331798,95615.16
Arco Brookhurst 75,Oct 2026,Oct 2025,195677.94,117406.76,Red Bull,Wednesday,2766.26,0.07604152807664355,8927.79
Arco Brookhurst 75,Oct 2026,Oct 2025,195677.94,117406.76,Frito Lay,Thursday,2683.98,0.07377973889914531,8662.24
Arco Brookhurst 75,Oct 2026,Oct 2025,195677.94,117406.76,7UP,Friday,1301.85,0.03578646379103135,4201.57
Arco Brookhurst 75,Sep 2026,Sep 2025,199109.26,119465.56,Core-Mark,Monday,29626.19,0.8143922692331798,97291.83
Arco Brookhurst 75,Sep 2026,Sep 2025,199109.26,119465.56,Red Bull,Wednesday,2766.26,0.07604152807664355,9084.34
Arco Brookhurst 75,Sep 2026,Sep 2025,199109.26,119465.56,Frito Lay,Thursday,2683.98,0.07377973889914531,8814.14
